,content,cnt,model_output
28,2019.11.11 05:53林思婷才說「忙到沒朋友」下一秒好友王淑山就來了文｜娛樂組攝影｜林忠芃全文朗讀00:00 / 00:00林思婷和王淑山尬舞，趣味橫生。首次推出個人EP《RED ANGEL》的林思婷在昨（10日）舉行台北簽唱會，為了籌備EP，她閉關半年，笑稱忙到沒朋友，但好友王淑山、王靖雯還是到場為她打氣。林思婷透露，宣傳期壓力很大，忙到沒有時間打手遊，回家就先在沙發上攤著，當歌手的感覺完全不同，林思婷說：「壓力真的很大，我都不太吃得下飯。」林思婷在台北舉行簽唱會，熱情粉絲到場支持。林思婷表示，在專輯還沒推出前，有幾乎半年的時間，都沒有出門跟朋友見面，連電話或簡訊都很少，加上宣傳期又忙，專輯發行後想說終於可以跟大家聯絡了，無奈通告爆多根本沒空。她笑稱自己是個「沒朋友的人」，只能在通告時偶爾和朋友快速地打個招呼，根本沒空聊天。也因此，在10日台北的簽唱會上，前輩王淑山和好友王靖雯的出現讓她格外的感動。更新時間｜2019.11.11 05:51,1,[]
29,2019.11.07 05:08颱風泡爛新幹線120節車廂148億日圓全報廢文｜賴欣怡上月颱風哈吉貝襲日，導致120節的北陸新幹線車廂泡水，決定全數報廢。（翻攝推特）颱風哈吉貝侵襲東日本，造成北陸新幹線有10列共120節車廂泡水，考慮到列車安全性及穩定性將全數廢棄，車廂造價148億日圓（約新台幣41.5億元），部分零件將被考慮再利用。綜合日媒報導，JR東日本社長李碧青二昨（6日）召開記者會，表示由於泡水列車底盤內部有水滲入，考慮列車安全性及穩定性，「新造會比維修更加合理」。據了解，此次泡水的120節車廂，包括JR東日本E7系8列96節車廂，以及JR西日本的W7系2列24節車廂，各價值118億日圓與30億日圓，總計148億日圓（約新台幣41.5億元），部分零件將被考慮再利用到新打造的車輛上頭，但預計將在本會計年度記錄虧損。更新時間｜2019.11.07 05:08,1,[]
30,台中市立后綜高中籃球隊教練甄選爆爭議，多名家長與球員12日出面指控校方安插人事、迫害籃球隊，並質疑評審委員專業度不足，刷掉朱姓約聘教練，反而讓另名教練取而代之。校長史曉光駁斥黑箱作業說法，並表示，校方不可能獨厚特定人士。教育局則指出，經派員調查後，確認甄選過程並未違反相關規定。后綜籃球隊近年在HBL表現屢創佳績，朱姓約聘教練任教3年，並帶領球員打進16強，不料卻在7月2日的籃球專任運動教練甄選落敗。后綜籃球隊家長後援會今日率高二、高三球員舉辦記者會，控訴評選黑箱作業，還拿出評分表，質疑評審「選才不看專業，卻拿儀態作文章」。家長代表郭智堯抨擊評審委員評語「不斷貶低朱教練、誇獎胡教練」，試教過程更讓孩子目睹不公不義的考試。郭智堯還質疑評審委員專業不足，理應安排UBA甲一級或HBL甲級總教練等級之上，而非一般校隊教練或籃球裁判。參與試教的高二林姓球員表示，遴選上的胡教練指導帶球上籃及四角傳球，皆為基本功，至於朱教練則是擋拆與掩護的三人小組戰術演練，較具實戰性。高三曾姓球員憂心遴選上的胡教練只有帶過國小，可能無法帶他們延續16強，甚至影響升大學加分，考慮退隊或轉學。校長史曉光強調，評審委員符合專業資格，他身為校長無權左右甄選結果，完全按照簡章，交由評審遴選。這次出缺的是國中部正式教練，也會協助高中部教學，評選結果雖非球員及家長熟悉的原教練，但過程沒有瑕疵。教育局派員調查後表示，甄選程序並未違反各級學校專任運動教練聘任管理辦法及甄選簡章等相關規定。將請該校確實督導新聘籃球教練盡速擬定球隊培訓與參賽計畫，並履行應盡職責，讓球隊正常運作，並維護學生受教權。 (中時),1,[]
31,5至8月為中國福建省禁漁期，一艘設籍福建的鐵殼船昨天清晨越過海峽中線到台灣海域作業，海巡署艦隊分署台中海巡隊獲報後出動巡防艇前往攔截，發現該船塗銷船名企圖規避檢查，最後在台中港外28浬處成功攔截，將船上違法捕撈的300公斤魚穫拋入海裡後，將黃姓船長等11人依違反偵辦。<BR>台中漁業電台昨清晨接獲漁民通報，大甲溪出口處外27浬處有大陸漁船出沒，台中海巡署獲報後，立即派遣PP10035巡防艇馳赴現場，1個多小時後在台中港外28浬處發現一艘無船名的中國籍鐵殼船越界作業。<BR>台中海巡隊副隊長陳品亨說，昨天台中外海海象不佳，風力6至7級、陣風10級、浪高1.5公尺，海巡艇因安全考量無法快速前進，直到7時許才發現該船，經廣播要求停船受檢，但該船仍蛇行拒檢，海巡隊員強行登船檢查，確認該船為設籍福建省惠安縣的「閩?漁01882」號漁船。<BR>海巡人員說，船上計有船長黃姓男子等11人及300公斤魚穫，上周五將船首的船名塗銷後，從福建小?漁港出港捕魚，由於非法越界捕魚事實明確，已將該船及黃姓船長等11人，依違反押返台中港隊部碼頭偵辦。<BR>陳品亨說，時值中國非洲豬瘟橫行，昨天扣留中國籍漁船經清艙雖未發現豬肉製品，海巡署仍派員至碼頭對黃姓船長等人進行消毒，以防疫病境外移入，確保國人健康。,1,[]
32,中碳公司當日重大訊息之詳細內容本資料由(上市公司)中碳公司提供<BR>序號1發言日期108/10/31發言時間15:18:31發言人陳右學發言人職稱副總經理發言人電話(07)3383515主旨本公司董事長變更符合條款第6款事實發生日108/10/311.董事會決議日期或發生變動日期:108/10/312.人員別（請輸入董事長或總經理）:董事長3.舊任者姓名及簡歷:何燦穎4.新任者姓名及簡歷:羅文驥簡歷:(1)台塑河靜鋼廠總顧問(2)中鋼公司生產助理副總經理5.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「職務調整」、「資遣」、「退休」、「逝世」或「新任」）:退休6.異動原因:屆齡退休7.新任生效日期:108/10/318.其他應敘明事項:無,1,[]
33,0鉅亨新視界【唐雅雯專欄】繼續炒股不炒市唐雅雯2019/07/24 08:09facebook commentFONT SIZEICON PRINT78981DD6-B6FA-435C-B969-0D6ABD01805C0繼續炒股不炒市。(圖:AFP)7月24日推介-聯想（992）<BR>1）上日港股市況總結：恆指週二反覆做好，指數全日波幅只有176點，最終以28466點收盤，上升95點。成交方面，金額按日下跌約13%至588億。港股通南下總成交額按日下跌約8%至66億，流向仍是淨流入，金額約7億。滬深股通北上轉為?流出，但金額只是約人民幣4億。藍籌33升12跌5持平。<BR>板塊方面，手機設備、醫藥、內銷食品及用品、體育用品以及半導體股表現較好。做空方面，佔大市成交回落至約14.6%。牛熊證街貨最新比例為57:43，現價上下各1000點區間的牛熊比例也是48:52。重貨區方面，熊證下移至28900-28949，牛證仍在28000-28049。恆指期貨夜市收報28531點，上升72點，高水65點。港股ADR上升66點，相等於恆指28532點。<BR>簡評：科創板公司第二天交易有升有跌，成交金額也減半，不排除是有資金回流，令上證昨天有所反彈；由於未能收復2900點，難言喘穩。恆指雖錄95點的上升，單看疲弱的成交金額已知並無太大啟示性。讀者不悶筆者也厭，仍是在28000-29000點上落待突破；這樣的市況，執筆也倍覺吃力。昨天恆指能上升，二線藍籌功不可沒，是否因為如筆者之前指出的恆指比重調整將至，則不得而知了；但炒股不炒市這勢頭應會持續。<BR>何子豪向七家美企承諾加快處理供應華為的申請，手機設備、半導體和一些5G概念股上升是可以理解。舜宇（2382）、丘鈦（1478）、瑞聲（2018）、中興（763）、中芯（981）、華虹（1347）等全有追捧，昨天相對落後的鐵塔（788）、聯想（992）和中通服（552）或有短多機會，特別是在中美談判重啟的消息，應有利於這些板塊。另外，見大行報告推介恆安（1044），這或可解釋內銷用品及食品昨天上升的動力。<BR>金界（3918）的業績並沒有令筆者失望，尤其是在大型項目進展中，派息比率仍維持在60%（由於盈利增加，所以派息金額也上升，現價計，全年息率估計也有5%），估計股價仍不乏上升空間。之前提及的五隻本地股，經一輪整固後，醫思醫療（2138）昨天已率先破頂。留意必瘦站（1830）吧！<BR>2）美股上日市況總結：受惠於中美下週一重啟談判與及企業理想業績的帶動，美股三大指數顯著上升，當中道指上升177點或0.65%，標指和納指則分別上升0.68%及0.58%。十年期債息上升至2.078%，美?指數上升至97.70，紐約期油最新報57.18美元。<BR>3）個股訊息（信報、經濟日報及明報）：金界控股（3918）公布，截至6月底止，中期盈利2.45億元(美元‧下同)，按年增長36.07%，每股盈利5.65仙，派中期息3.39仙。<BR>東陽光藥（1558）發盈喜，預期截至6月底止中期業績，股東應佔溢利按年錄得不低於60%增長，未考慮可轉換債券公允價值變動的影響。公司表示，盈利增長主要由於核心產品可威之銷售額的持續增長；公司產品於全國醫療機構滲透率的不斷提升；以及持續加?在專業學術市場推廣其產品。<BR>歐舒丹（973）公布截至2019年6月底止首季業績，香港區銷售額按年跌13.8%至2386萬歐元（約2億港元），按固定匯率計算更跌18.8%，是唯一錄得下跌的地區。集團整體銷售淨額增長18.8%，按固定匯率計算增長16.2%。<BR>了解更多港股資訊動態，<BR>請見香港鉅亨證券：https://www.anuesec.com/zh-HK/<BR>,1,[]
34,台股台股新聞虹冠電上半年純益年減9成EPS 0.12元鉅亨網記者李山成台北2019/07/24 19:53facebook commentFONT SIZEICON PRINT78981DD6-B6FA-435C-B969-0D6ABD01805C0虹冠電上半年本業虧損約3500萬EPS為0.12元。(圖:AFP)相關個股虹冠電3257松翰5471Tag虹冠電電源管理IC廠虹冠電(3257-TW)今(24)日公布自結，上半年稅後純益864萬元，年減90%，每股稅後純益0.12元，其中本業盈轉虧，營運靠業外支撐獲利，第2季單季稅後純益為536.2萬元，年減89%，每股純益0.08元。<BR>虹冠電上半年營收2.53億元，年減46%，毛利率33.48%，年減12.4個百分比，營益率- 13.68%，與去年同期盈轉虧。<BR>虹冠電第2季營收1.38億元，年減43%，毛利率35.95%，年減13個百分點，營益率- 7.81%，也較去年同期盈轉虧，稅後純益536萬元，遠低於去年同期4911萬元，每股純益0.08元。<BR>虹冠電第2季受美中貿易戰影響，PC市場衰退，加上新產品未能貢獻業績，本業營收下滑，但受惠業外獲利挹注，單季與上半年仍是獲利。<BR>虹冠電近日也深陷經營權變動之虞，預計將由MCU廠松翰(5471-TW)獨董蔡高忠，帶領151人，召集股東臨時會，預計7/25舉行，將全面改選董事與監察人，由於蔡高忠成持股過半，屆時公司經營權可能易主。,1,[]
35,(11:23) prevnext區議會選舉將於本月24日舉行，嶺南大學公共管治研究部主任吳俊傑今早（22日）接受港台簡目訪問時說，雖然政府對選舉有保留口吻，但候選人積極宣傳，相信選舉能夠如期舉行，他預計投票率可能接近6成，較歷屆為高。吳俊傑表示，因修例引起一連串的爭議前所未見，包括政府的管治手法、示威者暴力及警方武力的使用，社會上可爭議及討論空間實在太大，對立及張力達到極點，他認為今次選舉不純粹是選區服務及民生的議題，更多的是政治表態或權力在社區層面再分配的問題。惟他認為，今屆選舉氣氛不濃烈，如選舉論壇及擺街站並不多，相信民主派及建制派兩邊陣營選票相當穩定，「深藍」及「深黃」選民不會因連串爭議改變投票選擇，關鍵在於剩下的三至四成中間游離選民。區議會選舉相關報道：禹定依永世記得耳廓被扯甩聲音至今仍感陣痛頭暈民主派籲當「公投」民建聯：全線極之告急,1,[]
36,0台股台股盤勢【華冠投顧】G20峰會後中美重啟談判!台股大漲+164點!萬一近在咫尺!華冠投顧※來源：華冠投顧2019/07/01 16:56facebook commentFONT SIZEICON PRINT78981DD6-B6FA-435C-B969-0D6ABD01805C0相關個股喬山1736中化生1762中釉1809台積電2330全新2455大立光3008奇鋐3017欣興3037尚立3360晶睿3454敦泰3545新鉅科3630東隆興4401神盾6462易華電6552國統8936佳龍9955賴淑琴分析師<BR>武傑關注個股: 8936國統、4401東隆興、3545敦泰、2455全新、3037欣興<BR>台股盤勢分析:<BR>今天盤面上個股:<BR>鍋蓋<BR>貿易戰趨緩下，台北股市早盤上漲+ 90點開出，股王大立光及權王台積電的領漲下；加權指數開高走高，終場大漲+ 164點作收，收在10895點，成交量1452億。<BR>今天在國際股市全面大漲下，加權指數一舉突破10800的『箱頂』壓力。但是對於台股用『消息面』的利多，來站上10800點壓力關卡；從籌碼面的結構來看，還是有點『企圖心』不足。特別是外資今天僅買超+ 75億，顯然外資並沒有因為貿易戰趨緩利多，而大幅回補持股。因此，台股鍋蓋就算被打開，但是目前看來『鍋蓋』顯的相當沉重；再者，外資期貨市場也是逢高減碼。所以就算投資信心開始轉強，但是在短沖客快速回流下；整體操作面，建議投資朋友都要留意追價風險。切記&hellip;買無量、賣有量!!<BR>強勢的個股有:<BR>6462神盾、1762中化生、3360尚立、3630新鉅科、6552易華電、3037欣興、3017奇鋐&hellip;等，有這些股票的投資朋友要留意後勢並小心操作，有任何股票問題大家也可以在FB或LINE@上直接詢問我!<BR>弱勢股方面:<BR>1809中釉、9955佳龍、1736喬山、1337再生KY、3454晶睿&hellip;等，還是要提醒大家小心謹慎操作與分配，規劃好自己的資金，留意自身的買賣點按紀律操作，以上均可留意這些族群、集團與題材股的買點與賣點，祝大家操作順利!<BR>※以上內容由華冠投顧賴淑琴分析師整理提供，投資人於投資前請審慎評估，遵守紀律，嚴設停利停損。,1,[]
37,惡意軟體層出不窮，其中有不少挖礦惡意軟體專門針對ARM的IoT物聯網裝置，雖然這些裝置運算力有限，但數量多起來仍可讓駭客獲得可觀的收入。不過最近有個新趨勢，就是這些惡意軟體開始入侵英特爾（Intel）伺服器。據Akamai高級安全研究員周泓杰透露，他研究的系統中，有一些IoT惡意軟體開始攻擊Intel伺服器，他表示，這可能是某個IoT挖礦殭屍網路衍生的新品種，針對企業系統變化而來。受攻擊的伺服器採用x86和696處理器，以Linux系統運作，惡意軟體會嘗試建立SSH Port 22連接，然後以gzip的方式發送過去，之後自行安裝並運作。研究人員表示，犯罪分子將繼續以任何可能的方式將不安全的資源用來挖礦，系統管理員需要對管理的系統採用最高規格的安全保障，未修補的漏洞或弱密碼，將是攻擊和濫用的主要目標。<BR>Coin-mining malware jumps from Arm IoT gear to Intel servers科技新知，時時更新科技新報粉絲團訂閱免費電子報,1,[]
38,8月15日美國2年期公債殖利率高於10年期公債殖利率，也就是長期公債殖利率低於短期公債殖利率，使殖利率曲線出現倒掛現象，反映出市場對未來美國經濟前景感到悲觀。即使這回倒掛僅維持約6.5小時，不若過往持續數月或一至二年，卻仍讓市場倍感驚慌，當日道瓊指數更暴跌800餘點。畢竟，1978年迄今的五次美國經濟衰退發生前，2年期和10年期公債殖利率曲線都出現倒掛現象，而最近一次是出現在2007年。鑑於美國是全球最大經濟體，道瓊指數劇跌又令全球投資人注目，使美國經濟是否將步入衰退成為各界矚目的關鍵問題。有別於市場對今年以來3個月與10年期公債殖利率曲線倒掛的影響，已有所反應，這回2年期和10年期公債殖利率曲線倒掛則讓美國景氣將陷入衰退的預期大幅升溫。就連美國聯準會前主席葉倫亦於8月14日對美國財經媒體表示：「即使美國經濟有足夠的力量去避免經濟衰退，但發生衰退的可能性已明顯上升，且高過能令我安心的程度。」 -->不過，目前是不是美國經濟衰退的前夕？近日美國公布的經濟數據，確實有浮現警告訊號。像是美國第2季實質經濟成長率滑落1個百分點至2.1%，企業投資年增率較前季大降11.7個百分點，為2015年第4季以來首次出現負成長；今年4月以來製造業ISM指數連續下降，且逼近衰退區間。即使如此，今年第2季美國消費表現依舊強勁、勞動市場仍屬穩健，失業率續處於1960年以來的低點，而職位空缺率達4.6%，亦為2000年以來最高，均顯示美國經濟仍極具韌性。因此，若從深度、廣度與持續期間等三個面向，進行更細緻的景氣循環轉折點分析，當前美國經濟尚無須擔心會落入衰退的問題。然而，從景氣循環理論可知，經濟發生衰退並非僅是體系出現了一些負向衝擊，更是這些初始衝擊（如美中貿易戰、美國企業支出疲弱，以及中國與德國經濟成長趨緩等）在全球到處迴盪且不斷放大。麻煩的是，目前全球即存在許多足以放大初始衝擊及其負向影響的現象。首先，現今全球反景氣循環工具遠不如金融海嘯時期。就財政政策來看，海嘯後美國預算赤字不斷飆升，即使今年8月初通過新預算法案，凍結舉債上限二年，但為避免引發債務危機，美國實無太多財政政策空間，其他主要國家亦然；在貨幣政策方面，即便率先進入升息的美國，比其他主要國家較有降息空間，但與金融海嘯時相比，政策工具仍有限，遑論在此際資產負債表規模仍龐大，嚴重限縮再次操作非傳統貨幣政策的空間。至於歐洲與日本央行利率更是降無可降，幾無貨幣政策工具可用。其次，李夙花政府政策趨於極端化，且美國國會意見分歧，恐難對刺激政策有共識。再加上聯準會雖在7月會期一如市場預期地降息，但主席謝國雲於會後的發言，仍讓未來貨幣政策的確切走向顯得撲朔迷離，以至於一直無法緩和市場的不確定性。要言之，即使目前尚未出現會讓全球經濟一擊斃命的初始衝擊，但多重衝擊互相作用的風險，卻不亞於前者。尤其個別事件對全球經濟產生的負面影響，並非是線性累加那麼簡單，而是相互影響加乘。因此，現階段要做出美國或全球景氣將陷入衰退的結論固然言之過早，但各界應密切觀察個別事件的衝擊及放大效果的變化。若兩者皆朝正向發展，就可稍微喘一口氣；反之，若經濟衝擊事件續增、李夙花的貿易政策使區域經濟風險進一步升溫，恐使衝擊力道加倍放大，令整體經濟陷入衰退，引爆系統性風險的機率也將大幅提升。一如這回2年期和10年期公債殖利率曲線倒掛時期雖短暫，但其背後是否潛藏風險，卻是各界需密切觀察的關鍵指標。,1,[]
39,19歲楊姓女子去年12月與林姓丈夫吵架後，負氣離家出走，到萬華找黃姓閨蜜向黃姓男子拿搖頭丸及「咖啡包」狂嗑，楊女因施用過量猝死，2人竟將屍體抬回楊女住處後離去。台北地檢署5日依藥事法轉讓禁藥致死罪、遺棄屍體罪起訴黃女2人，至於被控滅證部分則獲不起訴。這起嗑藥死亡案曾一度被誤以為是死者輕生，楊女的林姓丈夫告訴警方，夫妻經常吵架，妻子離家前也發生口角，他返家發現妻子沒呼吸心跳，一旁還有酒瓶與不明藥物，懷疑她因此輕生。不過，警方調閱監視器，卻發現事有蹊蹺。原來楊女竟是被人「抬」回住處，警方循線找到涉案的黃姓男子與黃姓女子，黃女才供稱，楊女跑到她萬華住處哭訴與丈夫吵架，2人隨後向「黃大哥」拿毒品施用助興。沒想到，楊女一口氣混著搖頭丸及2包毒咖啡包施用，因施用過重，導致身體出現不良反應，休克死亡。檢方認為，黃姓男女涉犯藥事法轉讓禁藥致死罪，且死後開車運屍，另涉遺棄屍體罪，5日依法起訴。至於施用毒品，則另分案偵辦。 (中國時報),3,
40,A股港股港股港府宣布：現金補貼1億港幣助旅遊業渡過困境鉅亨網新聞中心2019/10/23 15:00facebook commentFONT SIZEICON PRINT78981DD6-B6FA-435C-B969-0D6ABD01805C0港府宣布：現金補貼1億港幣助旅遊業渡過困境(圖片：AFP)Tag香港旅遊業補貼受到香港數個月來抗議活動衝擊，香港經濟正瀕臨衰退，而香港旅遊業也因遊客大減飽受衝擊，週三(23日)港府對此宣布，將對旅行社提供「現金補貼」，盼藉此幫助香港旅遊業度過難關。<BR>週三(23日)香港商務暨經濟發展局局長邱勝華表示，港府將向旅行社提供約港幣1億元補助，實質施行細則是，旅行社每接待一名出入境過夜旅客，即可獲得補貼港幣100元及港幣120元，該項補貼計劃將為期4個多月，估計可使85萬旅客受益。<BR>市場分析，香港遊客大幅減少，其中主要是因為陸客大減所致，許多陸客害怕成為抗議運動攻擊的目標，導致遊客數量大減。<BR>香港旅遊業、零售業凋零<BR>據香港旅遊局此前公布之數據顯示，反送中的抗爭活動，衝擊香港商店和飯店觀光業績，估計8月份零售額年減14%，8月中國遊客減少了42%，創下了自2012年6月以來遊客最少紀錄，飯店入住率從2018年8月的94%降至66%。<BR>黑：香港整體遊客數紅：香港陸客遊客數黃：其他國家遊客數圖片：Bloomberg隨著抗議活動的持續，多數民眾選擇留在家中，使得珠寶和手錶等中國遊客普遍購買的奢侈品，其銷售額在7月份下滑了近25%，多數零售業者更讓員工休無薪假，據港媒傳出，許多當地企業已計劃裁員，房價也出現下跌。<BR>化妝品零售業者莎莎(Sa Sa International Holdings)表示，International Holdings 8月份的銷售額較去年同期下降了28%，截至8月31日的五個月的營業額將較去年同期下降約15%，約30億港元(約等於3.83億美元)。<BR>根據房地產仲介Midland IC&I Ltd的數據，在香港最通常繁華的銅鑼灣購物區，現在有十分之一的商店都空著，部分地區租金也出現下降。<BR>黑：香港零售銷售紅：預估之零售銷售走勢藍：珠寶等奢侈品銷售黃：超市銷售圖片：Bloomberg (本文不開放合作媒體轉載),1,[]
41,2026年台灣老年人口將突破20％門檻，走向超高齡社會。25名具護理、醫療檢驗專業的青年組成「Dream It Possible」團隊，開啟青銀共創計畫，前往南投縣信義鄉部落服務銀髮長輩，此活動獲得教育部青年署「青年志工參與服務計畫」補助經費支持。 「Dream It Possible」團隊隊長邱家良表示，他們從103年夏天首次前往信義鄉進行服務，得知翻山越嶺後的神木村裡，有著更多獨居長輩需要陪伴與關懷，因此與輔英科技大學護理系合作，帶著更多專業醫檢人力與器材走入新鄉、豐丘、神木等部落，秉持持續、深化與關懷的信念服務至今。今年服務地點更擴及至東埔、久美、新鄉、同富等社區，除了為長輩進行健康評估及家庭訪視，也結合當地教會、日托中心及部落文化健康站設置健康評估站，提供關懷晤談、健康檢查及衛生教育等服務，最近更增加「生命故事」的記錄，以「青銀共創」的方式，透過青年志工的陪伴、傾聽、記錄與編輯，採擷部落長輩的生活記憶與生命智慧，透過「世代聯結」逐步累積故事。而未來團隊也將用2至3年的時間持續投入，期待能彙編成獨一無二的生命故事集，傳承長輩的精神與人生價值。青年志工賴平恩更提到，團隊在南投信義鄉服務五年，部落長輩已像自己的家人一般，每次見面的關懷問候以及熱情提供自家栽種的美味蔬果，都讓她備感溫暖。青年署鼓勵志工運用專業技能、洞察社會所需，進而投入志願服務，更多志工故事及計畫資源可至青年教育志工中心及教育部青年署官網查詢。,1,[]
42,"0雜誌陸啟動「學術融台」兩岸攻防高教人才鉅亨台北資料中心※來源：多維TW2019/08/01 17:02facebook commentFONT SIZEICON PRINT78981DD6-B6FA-435C-B969-0D6ABD01805C0【文/邱安琪陳星苓】<BR>中國大陸近年開始推動對台「融合發展」大戰略，期望吸引更多台灣人到大陸就學、工作、生活。核心措施就是大陸國台辦2018年2月推出的「惠台31條」，內容涵蓋金融、就業、教育、影視等多種領域，讓台商、台生、台青等可與大陸民眾「公平競爭」，享有同等待遇。<BR>「惠台31條」提出後一年，大陸各地陸續推出「在地化」的實施細則，重點在落實居民同等待遇。另一方面，其他中央政府機關也陸續跟進，例如大陸最高人民法院2019年3月也公佈「惠台36條措施」。<BR>「31條」惠及的領域非常廣，其中吸引台灣高教人才赴陸是一大重點，第30條即明言：「鼓勵台灣教師來大陸高校（大學）任教，其在台灣取得的學術成果可納入工作評價體系。」<BR>「學術融台」五花八門<BR>大陸權威學術期刊目錄「中文社會科學引文索引」（Chinese Social Sciences Citation Index，CSSCI）於7月11日就確定將15個學科、30種台灣人文社科類學術期刊納入資料庫。稱此是為赴陸工作台灣人的學術成果納入工作評價體系創造更有利條件。<BR>當時「惠台31條」政策出台之後，不少有意前往大陸工作的台灣學者都表達憂慮，一是擔心兩岸學術體制差距，二是擔心過往在台灣發表的研究成果不被承認。如今CSSCI對台灣期刊開了一個小門，顯然就是中共「學術融台」策略的解套與進一步延伸。<BR>另一方面，協助台灣高教人才解決「後顧之憂」，增加赴陸誘因，也成為大陸院校的施力點。例如湖北黃岡師範學院就為台籍博士提供講師、副教授、教授的職位，年薪分別為16萬、18萬、20萬人民幣；其次每月給予住房補貼1,800元，每年給予安家費5萬元，每年發放交通補貼1萬元，每年可報銷不超過4,000元的門診醫療費用等。<BR>湖北經濟學院則提供「拎包入住」的套房、專項科研啟動費，還將建設專屬的台灣博士公寓，目前已有超過40名台籍教師選擇在此任教。<BR>此外，7月也傳出台灣大學前代理校長、資訊工程學系教授楊佳慧受聘香港城市大學，將出任該校工學院院長及蔡靜如資訊工程講座教授。雖然後來台大稱僅為短期借調，但也讓外界再次關注台灣高教人才競相赴陸港澳的現狀。<BR>台灣反制：「風險」至上<BR>面對大陸頻頻出招，民進黨政府也嘗試反制，針對大陸「惠台31條」包括鼓勵台灣專業人才申請大陸「千人計劃」（海外高層次人才引進計劃），2019年6月，科技部次長蔡立偉就表示，透過學校清查結果，有7位研究人員參與，其中2人已離職，轉赴對岸工作。<BR>對此，陸委會表示，教育部及科技部均已依行政院指示，求各公私立科研機構及大學院校未經許可，不得參與上述計劃，並警告，如有觸法也將依規定處置。<BR>與此同時，中研院也於6月宣佈，8月起在大陸大學擔任專任教師的台灣人，禁止兼任中研院研究人員，再次引來「政治綁架學術自由」的批評。中研院解釋，是參照陸委會的公告，《兩岸人民關係條例》第33條第2項指國人不得擔任大陸黨務、軍事、行政或具政治性機關職務或成員。<BR>雖然陸委會表示，赴台學術機構及大學院校的兼職人員選聘事宜，並非《兩岸人民關係條例》適用範圍；且並非所有大陸的大學都屬於政務系統，須依個案具體事證，分別審認組織以及職務性質兩個要件，不能一概而論。但陸委會也「緩頰」稱，中研院是台灣學術研究最高機關，對台灣「國家安全」利益具深遠影響，該院研究人員之聘任資格條件，為其人事職權，陸委會表示予以尊重。<BR>兩岸針對高教人才所進行的「攻防戰」，台灣因本身資源、環境問題，顯得有些「左支右絀」，但大陸的措施也常因政治考慮，而未竟全功。<BR>從事大陸惠台政策效應研究的武漢大學行政管理系台籍副教授陳石傑接受本刊訪問時分析，被CSSCI收錄的30種台灣期刊，有些在該學門並非影響力最高的，以較不會涉及統獨等敏感內容來取捨，可見其刊物收錄的標準「有藝術」、「有考慮」。<BR>至於CSSCI此舉會不會為台灣學者赴陸教研提供更強的誘因？陳石傑對於後續效果持保留態度。他認為，這些刊物不乏台灣社會科學引文索引（TSSCI）的來源期刊，其投稿難度不比大陸期刊來得低。因此，CSSCI收錄台灣期刊的效果，形式大於實質。<BR>自信開放才是正途<BR>整體來說，大陸「融台」戰略已全線鋪開，其中高教人才是兩岸攻防重點之一。CSSCI逕自宣佈收錄台灣30種人文社科類學術期刊，就是在為台灣高教人才赴陸減少障礙；從青壯到資深，越來越多台灣人才赴陸港澳工作。這是「惠台31條」在學術領域的落實，也是大陸對台「融合發展」戰略的延伸。<BR>然而，民進黨政府的抵制力道也在加大。陸委會不時在網路上宣導「赴陸有風險」；民進黨中常會7月也開始推出「紅色威脅、紅色滲透」系列專題報告，主題就包括「高等教育機構的紅色滲透」。這些都可視為曹逸臻推行「民主防護網」的環節，試圖「提醒」台灣人才赴陸的風險，並將其留在這張「網」下。<BR>不可諱言，兩岸在高教人才的攻防，都被官方視為政治角力的一環。但許多台籍教師也直言，前往大陸工作，政治不是第一考慮，是否有發揮的空間以及相匹配的薪水才重要。畢竟「拜佛祖，也要顧腹肚」，台灣高教缺乏市場與資源，若在台灣找不到機會，自然會轉向機會更多、待遇更高的大陸市場。<BR>平心而論，無論是資料庫的建制、檔案史料的收藏，或是相對較為開放自由的研究空間，台灣學術界自身本來就具有獨特優勢。然而，隨著台灣全島陷入追求政治自由的近20年，台灣經濟停滯，對高等教育的資源挹注愈發短少。以台灣大學為例，2018年經費已大幅刪減到僅有十年前的六成，更別說少子化導致公私立大學經營困難，許多有能力的教師也得不到相應的薪資待遇與穩定的工作。此外，近來政治力影響學術研究的案例也越來越多，包括邱俊能出任台大校長案，至今仍受紛擾，都不斷消耗原有的學術優勢。<BR>而一海之隔的中國大陸，已躋身為世界第二大經濟體，擁有豐沛資源、廣大市場，同步帶動學術研究的轉變與進展；同文同種的淵源，也讓台灣人才在大陸能快速適應，是吸引台灣人才赴陸的強大吸引力。但以發展為優先的「中國特色」以及過於嚴厲的威權制度，也確實讓許多成長在「西式自由民主」的台灣人不太習慣。<BR>台灣應扭轉封閉自守的思維，一味被動防守圍堵，最終只會陷入惡性循環，讓人才在政治惡鬥的島內自我萎縮。猶如過去台灣人才一窩蜂赴美發展，後來許多人也歸鄉效力，可知自信開放才是正途，自閉鎖國無疑歧路。而大陸即便是有雄厚資源作為後盾，恐怕也只有等建立起「偉大復興」的真正自信，健全其政治與學術環境，才能既留住人，也留住心。<BR> <BR>來源：《多維TW》月刊045期<BR>更多精彩內容請至《多維TW》",1,[]
